year,zone,summer,fall,winter,spring
2025,1,666.50,91.60,33.20,69.88
2025,2,666.50,91.60,33.20,69.88
2025,3,666.50,91.60,33.20,69.88
2025,4,666.50,91.60,33.20,69.88
2025,5,666.50,91.60,33.20,69.88
2025,6,666.50,91.60,33.20,69.88
2025,7,666.50,91.60,33.20,69.88
2025,8,666.50,74.09,33.20,69.88
2025,9,666.50,74.09,33.20,69.88
2025,10,666.50,74.09,33.20,69.88
2026,1,424.30,33.92,35.97,7.61
2026,2,424.30,33.92,35.97,7.61
2026,3,424.30,33.92,35.97,7.61
2026,4,424.30,33.92,35.97,7.61
2026,5,424.30,33.92,35.97,7.61
2026,6,424.30,33.92,35.97,7.61
2026,7,424.30,33.92,35.97,7.61
2026,8,384.10,33.92,35.97,7.61
2026,9,412.10,33.92,35.97,7.61
2026,10,384.10,33.92,35.97,7.61
